timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
2016/09/01 06:31:02.304,2893,VendorProvidingOffers,200,OK,User Thread Group 1-120,text,true,,43632,202,225,2008,0
2016/09/01 06:31:02.800,2407,SetFollow,200,OK,User Thread Group 1-15,text,true,,619,202,225,2241,0
2016/09/01 06:31:02.956,2257,VendorSearch,200,OK,User Thread Group 1-147,text,true,,971,202,225,2090,0
2016/09/01 06:31:03.000,2215,Add/EditOffer,200,OK,Vendor Threadgroup 2-7,text,true,,616,23,225,2049,0
2016/09/01 06:31:03.022,2229,UserLogin,200,OK,User Thread Group 1-70,text,true,,942,202,225,2063,0
2016/09/01 06:31:03.030,2243,UserLogin,200,OK,User Thread Group 1-152,text,true,,942,202,225,2077,0
2016/09/01 06:31:03.034,2248,RemoveFollow,200,OK,User Thread Group 1-68,text,true,,640,202,225,2082,0
2016/09/01 06:31:02.488,2848,ApproveOffer,200,OK,Vendor Threadgroup 2-6,text,true,,557,23,225,2683,0
2016/09/01 06:31:03.037,2313,AddRating,200,OK,User Thread Group 1-128,text,true,,616,202,225,2147,0
2016/09/01 06:31:01.986,3394,RatingList,200,OK,User Thread Group 1-2,text,true,,51227,202,225,2355,0
2016/09/01 06:31:03.046,2336,RemoveFollow,200,OK,User Thread Group 1-126,text,true,,640,202,225,2171,0
2016/09/01 06:31:03.060,2381,VendorSearch,200,OK,User Thread Group 1-33,text,true,,970,202,225,2216,0
2016/09/01 06:31:02.628,2820,ClaimedOffers,200,OK,User Thread Group 1-1,text,true,,21853,202,225,2377,0
2016/09/01 06:31:03.173,2292,GetVendorLocation,200,OK,User Thread Group 1-143,text,true,,674,202,225,2126,0
2016/09/01 06:31:03.215,2305,GetVendorLocation,200,OK,User Thread Group 1-34,text,true,,674,202,225,2139,0
2016/09/01 06:31:02.374,3171,RatingList,200,OK,User Thread Group 1-195,text,true,,50328,202,225,2151,0
2016/09/01 06:31:03.237,2315,UserLogin,200,OK,User Thread Group 1-56,text,true,,942,202,225,2149,0
2016/09/01 06:31:03.183,2373,UserLogin,200,OK,User Thread Group 1-73,text,true,,942,202,225,2207,0
2016/09/01 06:31:03.491,2074,AddRating,200,OK,User Thread Group 1-192,text,true,,616,202,225,1909,0
2016/09/01 06:31:03.500,2102,RemoveFollow,200,OK,User Thread Group 1-124,text,true,,640,202,225,1936,0
2016/09/01 06:31:03.285,2317,UserLogin,200,OK,User Thread Group 1-168,text,true,,942,202,225,2151,0
2016/09/01 06:31:03.520,2095,SetFollow,200,OK,User Thread Group 1-183,text,true,,619,202,225,1929,0
2016/09/01 06:31:02.793,2843,ClaimedOffers,200,OK,User Thread Group 1-3,text,true,,25923,202,225,2317,0
2016/09/01 06:31:03.607,2042,GetVendorDetails,200,OK,User Thread Group 1-32,text,true,,1067,202,225,1876,0
2016/09/01 06:31:03.605,2045,UserLogin,200,OK,User Thread Group 1-111,text,true,,942,202,225,1880,0
2016/09/01 06:31:01.098,4555,VendorProvidingOffers,200,OK,User Thread Group 1-188,text,true,,43633,202,225,3669,0
2016/09/01 06:31:03.684,2005,VendorFollowList,200,OK,User Thread Group 1-197,text,true,,1129,202,225,1839,0
2016/09/01 06:31:03.798,2035,GetVendorDetails,200,OK,User Thread Group 1-145,text,true,,1060,202,225,1869,0
2016/09/01 06:31:03.800,2050,GetVendorDetails,200,OK,User Thread Group 1-146,text,true,,1070,202,225,1884,0
2016/09/01 06:31:02.848,3056,ApproveOffer,200,OK,Vendor Threadgroup 2-10,text,true,,557,23,225,2890,0
2016/09/01 06:31:03.845,2068,UserLogin,200,OK,User Thread Group 1-36,text,true,,942,202,225,1902,0
2016/09/01 06:31:03.835,2102,RemoveFollow,200,OK,User Thread Group 1-6,text,true,,640,202,225,1936,0
2016/09/01 06:31:02.905,3035,VendorProducts,200,OK,User Thread Group 1-142,text,true,,43019,202,225,2162,0
2016/09/01 06:31:03.600,2367,ProductSearch,200,OK,User Thread Group 1-57,text,true,,2934,202,225,2202,0
2016/09/01 06:31:03.872,2099,SetFollow,200,OK,User Thread Group 1-186,text,true,,619,202,225,1934,0
2016/09/01 06:31:03.922,2076,VendorFollowList,200,OK,User Thread Group 1-137,text,true,,2339,202,225,1911,0
2016/09/01 06:31:03.870,2200,RemoveFollow,200,OK,User Thread Group 1-11,text,true,,640,202,225,2033,0
2016/09/01 06:31:01.910,4194,List offer,200,OK,Vendor Threadgroup 2-19,text,true,,76707,23,225,2636,0
2016/09/01 06:31:04.110,2001,UserLogin,200,OK,User Thread Group 1-37,text,true,,942,202,225,1834,0
2016/09/01 06:31:04.096,2016,VendorSearch,200,OK,User Thread Group 1-88,text,true,,968,202,225,1849,0
2016/09/01 06:31:04.128,1988,UserLogin,200,OK,User Thread Group 1-194,text,true,,942,202,225,1821,0
2016/09/01 06:31:04.046,2070,SaveDeliveryAddress,200,OK,User Thread Group 1-159,text,true,,770,202,225,1903,0
2016/09/01 06:31:03.955,2175,ClaimOffer,200,OK,User Thread Group 1-114,text,true,,617,202,225,2009,0
2016/09/01 06:31:04.234,1909,Add/EditOffer,200,OK,Vendor Threadgroup 2-11,text,true,,616,23,225,1742,0
2016/09/01 06:31:04.289,1860,SetFollow,200,OK,User Thread Group 1-135,text,true,,619,202,225,1693,0
2016/09/01 06:31:04.309,1918,SetFollow,200,OK,User Thread Group 1-5,text,true,,619,202,225,1751,0
2016/09/01 06:31:04.175,2068,ClaimOffer,200,OK,User Thread Group 1-115,text,true,,617,202,225,1902,0
2016/09/01 06:31:04.457,1795,SetFollow,200,OK,User Thread Group 1-62,text,true,,619,202,225,1630,0
2016/09/01 06:31:03.101,3152,VendorProducts,200,OK,User Thread Group 1-87,text,true,,42619,202,225,2288,0
2016/09/01 06:31:03.717,2569,ClaimedOffers,200,OK,User Thread Group 1-8,text,true,,23526,202,225,2090,0
2016/09/01 06:31:04.296,2010,ProductSearch,200,OK,User Thread Group 1-112,text,true,,2944,202,225,1844,0
2016/09/01 06:31:04.489,1827,RemoveFollow,200,OK,User Thread Group 1-66,text,true,,640,202,225,1661,0
2016/09/01 06:31:04.501,1875,GetVendorLocation,200,OK,User Thread Group 1-139,text,true,,674,202,225,1709,0
2016/09/01 06:31:04.409,1968,ProductSearch,200,OK,User Thread Group 1-108,text,true,,2934,202,225,1802,0
2016/09/01 06:31:03.723,2700,ClaimedOffers,200,OK,User Thread Group 1-22,text,true,,22335,202,225,2248,0
2016/09/01 06:31:04.542,1884,SaveDeliveryAddress,200,OK,User Thread Group 1-58,text,true,,770,202,225,1719,0
2016/09/01 06:31:03.723,2719,ClaimedOffers,200,OK,User Thread Group 1-119,text,true,,22068,202,225,2271,0
2016/09/01 06:31:04.554,1924,UserLogin,200,OK,User Thread Group 1-116,text,true,,942,202,225,1758,0
2016/09/01 06:31:06.316,172,UserLogin,200,OK,User Thread Group 1-66,text,true,,941,202,225,172,0
2016/09/01 06:31:04.613,1941,UserLogin,200,OK,User Thread Group 1-59,text,true,,942,202,225,1776,0
2016/09/01 06:31:04.653,1956,VendorSearch,200,OK,User Thread Group 1-91,text,true,,882,202,225,1790,0
2016/09/01 06:31:03.381,3242,VendorList,200,OK,User Thread Group 1-130,text,true,,61260,202,225,2001,0
2016/09/01 06:31:04.678,1984,VendorList,200,OK,User Thread Group 1-201,text,true,,7055,202,225,1818,0
2016/09/01 06:31:04.693,1978,UserLogin,200,OK,User Thread Group 1-47,text,true,,942,202,225,1812,0
2016/09/01 06:31:04.254,2428,ClaimedOffers,200,OK,User Thread Group 1-181,text,true,,26899,202,225,1883,0
2016/09/01 06:31:04.701,1983,SetFollow,200,OK,User Thread Group 1-125,text,true,,619,202,225,1816,0
2016/09/01 06:31:04.714,1985,RemoveFollow,200,OK,User Thread Group 1-4,text,true,,640,202,225,1819,0
2016/09/01 06:31:04.734,2006,UserLogin,200,OK,User Thread Group 1-189,text,true,,942,202,225,1840,0
2016/09/01 06:31:03.855,2901,RatingList,200,OK,User Thread Group 1-196,text,true,,51484,202,225,1857,0
2016/09/01 06:31:04.813,1979,SetFollow,200,OK,User Thread Group 1-12,text,true,,619,202,225,1814,0
2016/09/01 06:31:04.812,1986,AddRating,200,OK,User Thread Group 1-134,text,true,,616,202,225,1821,0
2016/09/01 06:31:04.757,2057,UserLogin,200,OK,User Thread Group 1-90,text,true,,942,202,225,1891,0
2016/09/01 06:31:04.881,1958,VendorSearch,200,OK,User Thread Group 1-97,text,true,,971,202,225,1792,0
2016/09/01 06:31:04.295,2580,VendorProducts,200,OK,User Thread Group 1-80,text,true,,42319,202,225,1721,0
2016/09/01 06:31:04.945,2040,RemoveFollow,200,OK,User Thread Group 1-127,text,true,,640,202,225,1874,0
2016/09/01 06:31:04.942,2048,VendorFollowList,200,OK,User Thread Group 1-138,text,true,,1551,202,225,1882,0
2016/09/01 06:31:04.976,2016,RemoveFollow,200,OK,User Thread Group 1-121,text,true,,640,202,225,1851,0
2016/09/01 06:31:05.012,2024,UserLogin,200,OK,User Thread Group 1-156,text,true,,942,202,225,1859,0
2016/09/01 06:31:06.699,342,UserLogin,200,OK,User Thread Group 1-4,text,true,,941,202,225,176,0
2016/09/01 06:31:05.118,1993,VendorFollowList,200,OK,User Thread Group 1-136,text,true,,1552,202,225,1827,0
2016/09/01 06:31:03.700,3471,List offer,200,OK,Vendor Threadgroup 2-2,text,true,,62784,23,225,2196,0
2016/09/01 06:31:02.618,4572,VendorProvidingOffers,200,OK,User Thread Group 1-187,text,true,,43633,202,225,3687,0
2016/09/01 06:31:05.142,2085,SetRange,200,OK,User Thread Group 1-123,text,true,,630,202,225,1918,0
2016/09/01 06:31:05.197,2059,SetFollow,200,OK,User Thread Group 1-120,text,true,,619,202,225,1893,0
2016/09/01 06:31:05.203,2053,UserLogin,200,OK,User Thread Group 1-52,text,true,,942,202,225,1886,0
2016/09/01 06:31:04.862,2413,ClaimedOffers,200,OK,User Thread Group 1-184,text,true,,21593,202,225,1975,0
2016/09/01 06:31:05.246,2076,AddRating,200,OK,User Thread Group 1-14,text,true,,609,202,225,1910,0
2016/09/01 06:31:04.044,3280,ListOffers,200,OK,User Thread Group 1-182,text,true,,47925,202,225,2308,0
2016/09/01 06:31:04.805,2540,ApproveOffer,200,OK,Vendor Threadgroup 2-14,text,true,,557,23,225,2374,0
2016/09/01 06:31:05.251,2099,UserLogin,200,OK,User Thread Group 1-153,text,true,,942,202,225,1934,0
2016/09/01 06:31:05.246,2117,SetFollow,200,OK,User Thread Group 1-86,text,true,,619,202,225,1951,0
2016/09/01 06:31:05.282,2089,UserLogin,200,OK,User Thread Group 1-68,text,true,,942,202,225,1923,0
2016/09/01 06:31:05.298,2080,UserLogin,200,OK,User Thread Group 1-42,text,true,,942,202,225,1915,0
2016/09/01 06:31:05.326,2117,SetRange,200,OK,User Thread Group 1-173,text,true,,630,202,225,1951,0
2016/09/01 06:31:05.349,2107,UserLogin,200,OK,User Thread Group 1-60,text,true,,942,202,225,1941,0
2016/09/01 06:31:05.363,2130,VendorFollowList,200,OK,User Thread Group 1-202,text,true,,1134,202,225,1964,0
2016/09/01 06:31:03.983,3517,ListOffers,200,OK,User Thread Group 1-10,text,true,,56212,202,225,2376,0
2016/09/01 06:31:05.369,2157,SaveDeliveryAddress,200,OK,User Thread Group 1-109,text,true,,770,202,225,1991,0
2016/09/01 06:31:05.362,2169,SetFollow,200,OK,User Thread Group 1-82,text,true,,619,202,225,2004,0
2016/09/01 06:31:05.373,2197,AddRating,200,OK,User Thread Group 1-193,text,true,,609,202,225,2031,0
2016/09/01 06:31:05.382,2188,UserLogin,200,OK,User Thread Group 1-126,text,true,,942,202,225,2022,0
2016/09/01 06:31:05.448,2124,RemoveFollow,200,OK,User Thread Group 1-1,text,true,,640,202,225,1958,0
2016/09/01 06:31:05.463,2136,Add/EditOffer,200,OK,Vendor Threadgroup 2-18,text,true,,616,23,225,1970,0
2016/09/01 06:31:05.482,2131,UserLogin,200,OK,User Thread Group 1-53,text,true,,942,202,225,1965,0
2016/09/01 06:31:03.566,4099,List offer,200,OK,Vendor Threadgroup 2-16,text,true,,82726,23,225,2419,0
2016/09/01 06:31:05.507,2159,GetDeliveryAddress,200,OK,User Thread Group 1-158,text,true,,792,202,225,1994,0
2016/09/01 06:31:05.539,2183,UserLogin,200,OK,User Thread Group 1-29,text,true,,942,202,225,2017,0
2016/09/01 06:31:03.094,4629,VendorProvidingOffers,200,OK,User Thread Group 1-81,text,true,,43644,202,225,3745,0
2016/09/01 06:31:05.205,2524,ApproveOffer,200,OK,Vendor Threadgroup 2-20,text,true,,557,23,225,2359,0
2016/09/01 06:31:05.033,2732,VendorProducts,200,OK,User Thread Group 1-25,text,true,,42619,202,225,1868,0
2016/09/01 06:31:05.496,2296,PlaceOrderWIthAddress,200,OK,User Thread Group 1-164,text,true,,639,202,225,2130,0
2016/09/01 06:31:05.548,2255,AddRating,200,OK,User Thread Group 1-71,text,true,,609,202,225,2089,0
2016/09/01 06:31:05.602,2237,UserLogin,200,OK,User Thread Group 1-124,text,true,,942,202,225,2071,0
2016/09/01 06:31:05.632,2235,VendorSearch,200,OK,User Thread Group 1-41,text,true,,970,202,225,2070,0
2016/09/01 06:31:05.636,2284,RemoveFollow,200,OK,User Thread Group 1-3,text,true,,640,202,225,2118,0
2016/09/01 06:31:05.653,2274,SetFollow,200,OK,User Thread Group 1-188,text,true,,619,202,225,2109,0
2016/09/01 06:31:06.227,1705,ListOffers,200,OK,User Thread Group 1-5,text,true,,52611,202,225,638,0
2016/09/01 06:31:05.679,2301,UserLogin,200,OK,User Thread Group 1-63,text,true,,942,202,225,2136,0
2016/09/01 06:31:05.738,2292,RemoveFollow,200,OK,User Thread Group 1-13,text,true,,640,202,225,2126,0
2016/09/01 06:31:05.727,2327,Add/EditOffer,200,OK,Vendor Threadgroup 2-15,text,true,,616,23,225,2161,0
2016/09/01 06:31:05.622,2458,ProductSearch,200,OK,User Thread Group 1-167,text,true,,2934,202,225,2291,0
2016/09/01 06:31:05.758,2331,SaveDeliveryAddress,200,OK,User Thread Group 1-46,text,true,,770,202,225,2164,0
2016/09/01 06:31:05.796,2375,GetVendorLocation,200,OK,User Thread Group 1-92,text,true,,673,202,225,2209,0
2016/09/01 06:31:05.815,2370,RemoveFollow,200,OK,User Thread Group 1-122,text,true,,640,202,225,2203,0
2016/09/01 06:31:05.844,2347,AddRating,200,OK,User Thread Group 1-72,text,true,,616,202,225,2180,0
2016/09/01 06:31:05.341,2893,ApproveOffer,200,OK,Vendor Threadgroup 2-22,text,true,,557,23,225,2727,0
2016/09/01 06:31:05.869,2366,UserLogin,200,OK,User Thread Group 1-95,text,true,,942,202,225,2199,0
2016/09/01 06:31:06.252,1985,ListOffers,200,OK,User Thread Group 1-62,text,true,,62548,202,225,715,0
2016/09/01 06:31:05.960,2280,BusinessList,200,OK,User Thread Group 1-45,text,true,,2816,202,225,2113,0
2016/09/01 06:31:06.684,1576,ListOffers,200,OK,User Thread Group 1-125,text,true,,48120,202,225,600,0
2016/09/01 06:31:05.994,2311,GetVendorDetails,200,OK,User Thread Group 1-149,text,true,,1050,202,225,2146,0
2016/09/01 06:31:06.017,2354,UserLogin,200,OK,User Thread Group 1-7,text,true,,942,202,225,2187,0
2016/09/01 06:31:06.116,2309,VendorProvidingOffers,200,OK,User Thread Group 1-194,text,true,,43643,202,225,1424,0
2016/09/01 06:31:06.376,2071,GetProduct,200,OK,Vendor Threadgroup 2-3,text,true,,1045,23,225,1906,0
2016/09/01 06:31:06.286,2212,RemoveFollow,200,OK,User Thread Group 1-8,text,true,,640,202,225,2047,0
2016/09/01 06:31:04.831,3669,List offer,200,OK,Vendor Threadgroup 2-12,text,true,,72705,23,225,2193,0
